Country Name,Country Code,Series Name,Series Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,343.080889714587,333.216684486798,357.234719908026,365.284494951006,405.548979051796,412.014286663305,488.300250990155,543.303041863931,528.736648057768,576.190125450699
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2725.17138911963,2887.37034243453,3062.67388299547,3263.90171311883,3485.32240934607,3775.58131429173,3928.45039149695,4094.3503344202,4209.87480089435,4276.60790388367
Algeria,DZA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3991.07992627792,4108.19831659194,4290.53154268188,4299.74842525472,4377.49860061468,4409.81203227677,4403.87344648228,4480.79927130159,4524.72027613238,4588.14765577383
American Samoa,ASM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,10561.3156869179,10586.6823368619,10565.2319198874,10202.9553063961,10535.5519401488,10416.0057817659,10117.0113625969,10271.2245225485,10360.5091546826,9921.80610804858
Andorra,AND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,44328.7604494183,46010.1013427567,46880.8061047792,47845.400420286,47594.8281439041,44317.5502434378,41668.8373600629,40852.6667774434,41191.7854116591,39769.5614582283
Angola,AGO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2423.29450431622,2597.45754126006,2883.97881768389,3102.65158022739,3409.50417848833,3652.15426594294,3549.57860280612,3587.88379824396,3579.96008145585,3748.44944492387
Antigua and Barbuda,ATG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,12870.947706353,13433.7813762756,14097.096665718,15653.3747162831,16833.7045173582,16558.4579093215,14327.3108496645,13049.2570545735,12618.0791316619,12876.8892883551
Argentina,ARG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,7380.4670873289,7962.41230916816,8577.86499429459,9174.50245831661,9901.51188115634,10201.4759370923,9502.24358504659,10385.9644319555,10883.315359489,10649.8372874572
Armenia,ARM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2018.36748633212,2243.08895410475,2571.54737414349,2933.58637167002,3364.7057424114,3627.79670232372,3137.34609774988,3218.37270660563,3370.55110340079,3603.59584818863
Aruba,ABW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,25469.2876015726,27005.5294296216,26979.8853984373,27046.224230202,27427.5785719272,27365.9311941508,24463.6921995023,23512.6025956397,24233.0010815022,23781.2572983852
Australia,AUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,46595.9009195353,47926.7486611411,48813.8877630783,49443.225533311,51024.2411265745,51841.2730313421,51767.3778350805,52022.1255961876,52567.7772438131,53682.0472210506
Austria,AUT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,43052.602598004,43956.5829032552,44637.8560109729,45951.7346365426,47510.2937856663,48053.4823567215,46123.4911031965,46858.0432733717,48065.3165411898,48172.2381151452
Azerbaijan,AZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2149.23250460856,2327.65185795531,2948.20604828813,3921.02755330664,4863.98288042341,5267.37198868499,5642.50471548519,5842.80578358576,5676.45041334095,5724.92083164488
"Bahamas, The",BHS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,31272.8381153798,30978.5823209877,31442.2788734593,31632.4534870083,31485.4937392896,30190.7510358741,28440.0722223017,28443.4076553352,28248.8497757498,28799.9214118515
Bahrain,BHR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,22058.8721481813,22144.6068766373,22066.209072122,21795.641469988,21837.5068879636,21562.6624712122,20796.2019205807,20722.1372891347,20516.5883157314,20924.7104304295
Bangladesh,BGD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,568.13922556822,588.327258879369,617.542666369303,649.929885115528,687.323085586786,720.357003907352,748.296060456803,781.153593557047,822.188338841729,865.749891053711
Barbados,BRB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,15494.1694097234,15658.3746240246,16216.5292067617,17102.3183903531,17402.2246142806,17446.2217713416,16492.1167966304,16056.3709766031,15900.0236759993,15787.8040183292
Belarus,BLR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3369.02930622984,3780.4759965654,4164.18550822824,4608.73674666689,5028.10690244594,5560.14622910331,5583.70185481887,6029.3967998293,6365.3780531651,6478.70481089972
Belgium,BEL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,40634.5854893595,41903.9764229122,42641.6774559424,43442.5678977027,44710.3850177578,44556.8205778637,43306.5991304703,44141.8781415734,44309.6253696963,44361.2084743341
Belize,BLZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4251.48381435778,4340.95485820755,4311.49959680873,4402.68749108416,4311.07404394,4348.22547442813,4249.30150475318,4270.86434454699,4250.31974418125,4253.09941001094
Benin,BEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,988.627481599083,1001.85440007121,989.372278966197,999.020026621627,1029.03226327339,1049.36786915158,1043.96189434954,1036.53395164469,1037.74703995475,1057.66774031197
Bermuda,BMU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,85321.2432651983,86733.3700723903,87616.3859691804,91944.8738136662,94029.6080297516,94903.19153445,89391.2111759902,88207.3275597322,86001.1711723395,81547.8552352009
Bhutan,BTN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1366.81993529366,1424.05305747583,1504.45561555708,1588.53136946711,1859.08623424394,1928.76867961222,2038.56141967339,2258.18314115595,2411.02893205206,2504.5058910519
Bolivia,BOL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1620.26366392743,1657.50512835135,1700.18279095051,1750.80304828605,1799.49854611382,1878.1103131111,1909.08458812934,1955.46155736098,2024.11732438255,2094.02421738306
Bosnia and Herzegovina,BIH,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3440.85572808556,3648.78669501381,3967.19497560584,4182.0053550408,4429.98982151809,4680.98609378614,4562.70844792763,4635.51777931783,4734.21455959276,4774.38530075719
Botswana,BWA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5493.14411580954,5542.30542660652,5686.78053185044,6038.79181048478,6400.71756767326,6657.83238251693,6029.19863060839,6434.81565688465,6728.20195409419,6944.80763670943
Brazil,BRA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,8943.82848255785,9346.03934316368,9535.41883036578,9805.72450610977,10293.530341463,10710.8722205603,10594.9865923924,11286.2430162457,11627.8106505917,11745.7759262897
British Virgin Islands,VGB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,37212.4669053931,36761.2498220737,36329.4982777345,37399.74000641,36987.8415885984,35844.4160068892,34800.5635264382,35269.5531076448,36121.891977592,35967.3283979567
Bulgaria,BGR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4843.04625605349,5194.08571426205,5607.71304979399,6034.82019563462,6477.9851161821,6920.61843796227,6726.88692660985,6809.89898414354,7014.83562474702,7081.02615062678
Burkina Faso,BFA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,538.473818316437,546.357720253107,576.371744979895,594.378678960047,600.456114437171,616.353254308186,615.690923529602,647.835846453449,670.264548166389,692.445037920314
Burundi,BDI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,222.807321080131,226.288471649801,221.096374710531,225.622210413864,225.859085274657,229.148545082546,230.192598508771,234.235646874999,235.988766659787,238.816045825172
Cabo Verde,CPV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2362.96107339695,2565.78049968481,2705.13463478074,2882.88994648951,3279.07835675104,3455.1017668217,3370.35023611401,3378.25485950035,3468.66705505948,3461.92665130578
Cambodia,KHM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,506.583017849236,549.969766152318,613.133329407254,668.876489417057,726.286982617308,763.508498039057,752.796480639033,785.502282874113,827.777013823179,873.949283306707
Cameroon,CMR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1204.42005375107,1251.92898156968,1243.08065504954,1251.46386315501,1277.30478386454,1286.00107956163,1278.59620799079,1286.51557161767,1303.42588027745,1325.93022542942
Canada,CAN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,41532.2195539328,42757.003978954,44471.0800715094,45857.9965548037,48534.1744824198,48495.2040370934,46540.6436997867,47448.0132198383,48464.4962792344,48785.9360790745
Cayman Islands,CYM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,88280.8781682964,88390.1587504981,85528.6770181655,77238.2427959989,73350.7848219067,72662.0277314926,72208.1911691862
Central African Republic,CAF,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,406.153825194334,421.946969836605,417.501900137222,428.956919649899,440.176442478945,441.296784922234,472.093180257763,488.421401781569,505.238458728031,528.644927384143
Chad,TCD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,572.625472514772,736.831334419516,833.557428518722,810.039354176086,808.631991990927,806.0779470248,812.711318919723,892.568720336953,863.761254867774,909.312343770806
Channel Islands,CHI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..
Chile,CHL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,10109.6680484322,10726.6448499322,11225.0799494747,11808.8347703093,12256.4296859791,12553.7948363739,12227.2145300329,12808.034586422,13455.8378125533,14035.679130826
China,CHN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2253.92968857986,2467.13284333365,2732.16587968885,3062.53490453063,3480.15272549424,3796.63336331895,4132.90231241877,4550.45359583857,4961.23468857388,5325.1601061666
Colombia,COL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5031.492548084,5225.24490594416,5404.12314677673,5693.26494678366,6002.33040691112,6126.92597177956,6128.19547247793,6336.70921367988,6711.61618680642,6911.59200404802
Comoros,COM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1288.61454617884,1282.52707114389,1287.86922403356,1290.7300018969,1270.24445650129,1289.67922875261,1299.27458879912,1316.49884810552,1337.73836893032,1347.55168235907
"Congo, Dem. Rep.",COD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,282.647066792974,292.35083712867,300.562422453352,306.528260726948,315.263863499979,324.04031280739,322.418254424149,334.021572573152,345.266114850827,357.598295892516
"Congo, Rep.",COG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2452.62566286957,2463.03579490019,2571.78625004844,2642.89407435735,2513.18454756872,2563.69236638513,2666.17508860622,2812.43597442108,2828.48377871685,2860.87433557363
Costa Rica,CRI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6545.73672073041,6730.83139416725,6892.92317953368,7289.90392269152,7779.3249270175,8034.32992249851,7854.95237470108,8141.91312675461,8390.47907109648,8689.96516770511
Cote d'Ivoire,CIV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1231.719195257,1221.1572170007,1216.18707565008,1208.26438051626,1202.88900133888,1206.15073705977,1217.20786972238,1213.11264506443,1132.5484005404,1223.6319350233
Croatia,HRV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,12462.0800965034,12976.9323602855,13519.3469681563,14192.0848931646,14942.7601168568,15207.5056777016,14103.1261414621,13923.6285837055,13928.5019024278,13658.5154487544
Cuba,CUB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3746.43781503043,3955.16666643203,4393.8300479724,4924.1296085638,5286.48019452478,5511.04696456554,5596.13968145983,5730.35477459488,5885.25462455411,6051.68574614449
Curacao,CUW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,28530.9349607537,29566.8294482432,30558.4275397877,31469.4618636905,32377.0715210736,32725.6302483256,31216.7645467282,31023.6383309791,30363.5100539824,28873.6258339319
Czech Republic,CZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,16143.2636401008,16930.1897023209,18011.3866984813,19193.7548217282,20151.1781208694,20520.7799617785,19424.2730584841,19808.0710912518,20118.5878138351,19929.7640671993
Denmark,DNK,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,56256.7557391673,57608.7372315592,58792.6604579917,60892.7715799008,61174.5416304036,60504.7769830456,57229.0398875643,58041.3984363385,58575.6078086932,58487.7935518014
Djibouti,DJI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,1343.26872994437,..,..
Dominica,DMA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5724.7994765532,5875.80828474521,5897.02359000568,6160.49355571934,6544.79032027381,7007.66041912456,6923.34180916382,6967.26665433457,6947.9662511963,6869.64063635644
Dominican Republic,DOM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4096.11638629781,4143.28193797841,4472.71243618188,4818.73512337609,5109.48285883536,5207.00262280854,5191.14035635466,5555.38972190199,5660.51706694018,5745.4227442923
Ecuador,ECU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3865.0528772486,4112.67444307076,4258.42161199778,4372.09186915062,4393.72410498858,4596.14518230386,4547.50930098406,4633.59035839904,4921.84840912018,5122.18009020886
"Egypt, Arab Rep.",EGY,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2048.22100367399,2093.34632990722,2147.81981105282,2254.5104594361,2372.38301038924,2497.34022161353,2565.76916476162,2644.81703909751,2635.19156362046,2634.85005236495
El Salvador,SLV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2725.16159770344,2735.87188072744,2796.79323025908,2905.16191027816,2946.41450899997,3009.37036169881,2934.18700979006,2983.24270784904,3083.80337578809,3156.72384463597
Equatorial Guinea,GNQ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,10923.5286350039,14437.5681394498,16122.87357678,16591.2522076373,18261.0360664846,20532.9522638923,19868.0707623372,17288.8595992193,17610.3066333418,18254.0964461755
Eritrea,ERI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,610.485624930114,592.28852465549,584.570025035596,560.74366760336,553.877207201598,488.883713294106,498.534349079834,501.355633266246,537.491368290308,..
Estonia,EST,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,12486.1124295075,13411.0395117541,14768.0566342049,16299.1545001753,17613.7530482035,16762.2845005182,14370.5134960561,14790.8212220594,15940.1585200411,16497.2087564675
Eswatini,SWZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3358.30622500786,3468.19455075762,3660.92995926922,3859.65208984107,4005.48151356337,4010.34211568285,4044.13301272204,4168.50517706719,4233.57521023067,4431.82374639263
Ethiopia,ETH,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,194.873070098516,215.154562212426,233.944190480862,252.212288224834,273.492119814399,294.805427784673,312.033849443538,341.554114905179,369.202407829027,389.938966721631
Faroe Islands,FRO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,48530.2338492813,..,..
Fiji,FJI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3503.5091817889,3681.14790773598,3690.02376489353,3729.9343473111,3661.40875555164,3659.09210381641,3573.39255030914,3652.52743714193,3735.55831531407,3781.18454181843
Finland,FIN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,42706.9211386174,44283.1625157095,45358.5616425923,47004.6158133285,49285.2720478322,49440.9681797545,45231.9617393544,46459.9732548543,47423.2104278239,46538.5774283497
France,FRA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,38985.5358593536,39794.6355114869,40152.6928743383,40850.3555437969,41582.7997168242,41456.4834259857,40058.679756449,40638.33400426,41329.0353691755,41258.2747345168
French Polynesia,PYF,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,9859.2477036437,9679.07175731824,9675.42653304828,9143.47097135842,9413.58283593182,8826.626396463,8554.28310976306,8849.35529971507,9136.61456881311,9258.88197266208
"Gambia, The",GMB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,827.834232340336,858.600296928359,812.76633858754,784.023225291556,784.036919305198,808.705243613652,837.334898259103,860.637873688125,767.155353643339,783.266692810892
Georgia,GEO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2069.08139767155,2202.57179943893,2429.17247947582,2673.14828195939,3025.14181765174,3107.73371855191,3020.99872474288,3233.29594347421,3500.52749285613,3751.00347585304
Germany,DEU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,38073.7606653695,38535.1709892798,38835.3823683537,40362.2941572851,41622.3558290865,42102.8532926964,39804.9212955522,41531.9341978689,43969.259276339,44070.9217011381
Ghana,GHA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1012.10489177674,1042.55477657187,1076.61812539208,1116.63003289199,1135.49112995427,1207.83445550869,1234.54027272067,1299.34494946039,1446.37163070702,1543.76398423026
Gibraltar,GIB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..
Greece,GRC,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,26349.2773212451,27614.4059308213,27698.5106178693,29176.3928555464,30054.8893906847,29874.7434421564,28514.8100925637,26917.7589787254,24495.7111408242,22830.5267783973
Greenland,GRL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,33379.583469,35593.4254981198,37352.8925366913,39539.9157055674,40626.7814272793,43305.7027608534,43684.587199796,43988.3324931946,43781.4625641366,44454.3735497748
Grenada,GRD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6893.36806378174,6826.29001746957,7709.14955177846,7382.16261402016,7815.06520462278,7869.21693735805,7325.6710994073,7257.75662232319,7274.72313572426,7147.18918737909
Guam,GUM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,27882.7097948152,29603.7734824842,30592.1607999249,29375.276247165,29578.3856170959,30054.0138683035,30112.6271684902,30700.4340081784,30690.4366504784,31252.6636152997
Guatemala,GTM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2612.6878145099,2638.35041910946,2668.35760310063,2755.50694024087,2871.90348296609,2909.50971461775,2870.31158935321,2898.94221470448,2965.15320617913,2999.42276262614
Guinea,GIN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,636.791171662799,639.08718489237,644.958557799293,638.698570420575,667.198956283713,679.034406048802,656.20504391639,672.424402562443,694.603134542634,719.698172703926
Guinea-Bissau,GNB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,523.730947822119,525.824373105346,535.440957455005,534.822272283187,538.985481805324,542.645951129504,546.947092261669,557.632132626126,587.140383038061,561.986650036213
Guyana,GUY,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2476.0671291167,2512.7736881289,2462.3439328238,2588.02823636014,2769.21245500168,2822.65302049888,2919.39600742543,3033.24772490536,3179.85921030323,3332.70302751644
Haiti,HTI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,711.922302642403,675.68408044858,676.792899794046,680.944671724432,692.553620977461,687.447964430153,697.68891045003,665.627419493396,691.894267211056,701.445963678329
Honduras,HND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1657.3134583985,1717.90223690812,1778.85007098289,1852.13954062011,1922.87465546677,1960.93922466572,1873.39410896665,1904.34646496881,1939.33862702996,1982.00973784495
"Hong Kong SAR, China",HKG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,24010.5431427658,25896.7131524307,27688.7665148885,29446.2795675916,31081.556431976,31553.6264533444,30711.4872627763,32549.998231121,33888.4923153422,34086.3065403193
Hungary,HUN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,11969.6190819737,12574.7105798992,13134.4298826021,13685.1739896682,13739.5846610243,13909.3230894709,12997.5791857191,13113.5259617277,13389.959626871,13261.1969629144
Iceland,ISL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,38928.9887689003,41692.0963255598,43635.0154565339,44859.8325719956,47835.3826310557,47889.3849432345,44491.7345060949,43024.9234853499,43700.7929954964,44032.4252000495
