Date, Country, Comment
1788, United States of America, (to stand for election)
1893, New Zealand, (to vote)
1902, Australia, *
1906, Finland, 
1907, Norway, (to stand for election)*
1913, Norway, **
1915, Denmark,  
1915, Iceland, *
1917, Canada, (to vote)*
1917, Netherlands, (to stand for election)
1918, Austria, 
1918, Canada, (to vote)*
1918, Estonia,
1918, Georgia, (1)
1918, Germany,
1918, Hungary, 
1918, Ireland, *
1918, Kyrgyzstan, 
1918, Latvia, 
1918, Lithuania, 
1918, Poland, 
1918, Russian Federation, 
1918, United Kingdom, *
1919, Belarus, 
1919, Belgium, (to vote)* 
1919, Luxembourg, 
1919, Netherlands, (to vote)
1919, New Zealand, (to stand for election)
1919, Sweden, *
1919, Ukraine, 
1920, Albania, 
1920, Canada, (to stand for election) *
1920, Czech Republic, 
1920, Iceland, **
1920, Slovakia, 
1920, United States of America, (to vote)
1921, Armenia, 
1921, Azerbaijan, 
1921, Belgium, (to stand for election) *
1921, Georgia, 1
1921, Sweden, **
1924, Kazakhstan, 1
1924, Mongolia, 
1924, Saint Lucia,  
1924, Tajikistan, 
1927, Turkmenistan, 
1928, Ireland, **
1928, United Kingdom, **
1929, Ecuador, *
1929, Romania, *
1930, South Africa, (Whites)
1930, Turkey, (to vote)
1931, Chile, *
1931, Portugal, *
1931, Spain, 
1931, Sri Lanka, 
1932, Brazil, 
1932, Maldives, 
1932, Thailand, 
1932, Uruguay, 
1934, Cuba, 
1934, Portugal, *
1934, Turkey, (to stand for election)
1935, Myanmar, (to vote)
1937, Philippines, 
1938, Bolivia, *
1938, Uzbekistan, 
1939, El Salvador, (to vote)
1941, Panama, *
1942, Dominican Republic, 
1944, Bulgaria, 
1944, France, 
1944, Jamaica, 
1945, Croatia, 
1945, Guyana, (to stand for election)
1945, Indonesia, 
1945, Italy, 
1945, Japan1, 
1945, Senegal, 
1945, Slovenia, 
1945, Togo, 
1946, Cameroon, 
1946, D.P.R. of Korea, 
1946, Djibouti, (to vote) 
1946, Guatemala, 
1946, Liberia, 
1946, Myanmar, (to stand for election) 
1946, Panama, **
1946, Romania, **
1946, The F.Y.R. of Macedonia, 
1946, Trinidad and Tobago, 
1946, Venezuela, 
1946, Viet Nam, 
1946, Yugoslavia, 
1947, Argentina, 
1947, Japan, 1
1947, Malta,  
1947, Mexico, (to vote)
1947, Pakistan, 
1947, Singapore, 
1948, Belgium, **
1948, Israel, 
1948, Niger, 
1948, Republic of Korea, 
1948, Seychelles, 
1948, Suriname, 
1949, Bosnia and Herzegovina, 
1948, Chile, **
1948, China, 
1948, Costa Rica, 
1948, Syrian Arab Republic, (to vote)*
1950, Barbados, 
1950, Canada, (to vote)**
1950, Haiti, 
1950, India, 
1951, Antigua and Barbuda, 
1951, Dominica, 
1951, Grenada, 
1951, Nepal, 
1951, Saint Kitts and Nevis,  
1951, Saint Vincent and the Grenadines, 
1952, Bolivia, **
1952, C̫te d'Ivoire, 
1952, Greece, 
1952, Lebanon, 
1953, Bhutan, 
1953, Guyana, (to vote)
1953, Mexico, (to stand for election)
1953, Syrian Arab Republic, **
1954, Belize, 
1954, Colombia, 
1954, Ghana, 
1955, Cambodia, 
1955, Eritrea, 2
1955, Ethiopia, 
1955, Honduras, 
1955, Nicaragua,  
1955, Peru, 
1956, Benin,  
1956, Comoros,  
1956, Egypt, 
1956, Gabon, 
1956, Mali, 
1956, Mauritius, 
1956, Somalia, 
1957, Malaysia,  
1957, Zimbabwe, (to vote)**
1958, Burkina Faso, 
1958, Chad, 
1958, Guinea, 
1958, Lao P.D.R., 
1958, Nigeria (South), 
1959, Madagascar, 
1959, San Marino, (to vote)
1959, Tunisia, 
1959, United Republic of Tanzania, 
1960, Canada, (to stand for election)**
1960, Cyprus, 
1960, Gambia,  
1960, Tonga, 
1961, Bahamas, *
1961, Burundi, 
1961, El Salvador, (to stand for election)
1961, Malawi, 
1961, Mauritania, 
1961, Paraguay, 
1961, Rwanda, 
1916, Sierra Leone, 
1962, Algeria, 
1962, Australia, **
1962, Monaco, 
1962, Uganda, 
1962, Zambia, 
1963, Afghanistan, 
1963, Congo, 
1963, Equatorial Guinea, 
1963, Fiji, 
1963, Iran (Islamic Republic of), 
1963, Kenya, 
1963, Morocco, 
1963, Papua New Guinea, (to stand for election)
1964, Bahamas, **
1964, Libyan Arab Jamahiriya, 
1964, Papua New Guinea, (to vote)
1964, Sudan, 
1965, Bostwana, 
1965, Lesotho, 
1967, Democratic Republic of the Congo, (to vote)
1967, Ecuador, **
1967, Kiribati, 
1967, Tuvalu, 
1967, Yemen (D.P. R.), 
1968, Nauru, 
1968, Swaziland, 
1970, Andorra, (to vote)
1970, Democratic Republic of the Congo, (to stand for election)
1970, Yemen (Arab Republic), 
1971, Switzerland, 
1972, Bangladesh, 
1973, Andorra, (to stand for election)
1973, Bahrain, 3
1973, San Marino, (to stand for election)
1974, Jordan, 
1974, Solomon Islands, 
1975, Angola, 
1975, Cape Verde, 
1975, Mozambique, 
1975, Sao Tome and Principe, 
1975, Vanuatu, 1
1976, Portugal, **
1977, Guinea Bissau, 
1978, Nigeria (North), 
1978, Republic of Moldova, 1
1978, Zimbabwe, (to stand for election)
1979, Marshall Islands, 
1979, Micronesia (Fed. States), 
1979, Palau, 
1980, Iraq, 
1980, Vanuatu, 1
1984, Liechtenstein, 
1984, South Africa, (Coloureds + Indians)
1986, Central African Republic, 
1986, Djibouti, (to stand for election)
1989, Namibia, 
1990, Samoa, 
1993, Kazakhstan, 1
1993, Republic of Moldova, 1
1994, South Africa (Blacks), 
2005, Kuwait, 