HDI Rank,Country,Value,Rank
1,Norway,0.53,6
2,Australia,2.00,24
2,Switzerland,0.40,1
4,Germany,1.06,9
5,Denmark,0.41,2
5,Singapore,1.08,11
7,Netherlands,0.44,3
8,Ireland,2.07,26
9,Iceland,0.51,5
10,Canada,1.38,18
10,United States,3.23,43
12,Hong Kong,..,..
13,New Zealand,2.38,34
14,Sweden,0.48,4
15,Liechtenstein,..,..
16,United Kingdom,2.11,28
17,Japan,1.56,21
18,South Korea,1.07,10
19,Israel,1.43,20
20,Luxembourg,1.15,13
21,France,1.42,19
22,Belgium,1.13,12
23,Finland,0.56,8
24,Austria,1.18,14
25,Slovenia,0.53,6
26,Italy,1.25,16
27,Spain,1.21,15
28,Czech Republic,2.09,27
29,Greece,1.59,23
30,Brunei,..,..
30,Estonia,2.11,28
32,Andorra,..,..
33,Cyprus,1.56,21
33,Malta,3.37,44
33,Qatar,9.02,127
36,Poland,2.17,30
37,Lithuania,2.01,25
38,Chile,5.22,65
38,Saudi Arabia,4.17,50
40,Slovakia,2.59,39
41,Portugal,1.31,17
42,United Arab Emirates,3.52,46
43,Hungary,4.12,49
44,Latvia,3.11,41
45,Argentina,6.02,77
45,Croatia,2.21,31
47,Bahrain,3.53,48
48,Montenegro,2.36,33
49,Russia,4.31,52
50,Romania,5.39,72
51,Kuwait,5.35,70
52,Belarus,2.24,32
52,Oman,4.41,54
54,Barbados,4.51,59
54,Uruguay,4.44,55
56,Bulgaria,3.43,45
56,Kazakhstan,3.22,42
58,Bahamas,6.02,77
59,Malaysia,4.51,59
60,Palau,..,..
60,Panama,7.37,100
62,Antigua and Bermuda,..,..
63,Seychelles,..,..
64,Mauritius,6.20,82
65,Trinidad and Tobago,5.24,67
66,Costa Rica,5.08,63
66,Serbia,3.05,40
68,Cuba,5.04,62
69,Iran,8.29,118
70,Georgia,6.01,76
71,Turkey,5.28,69
71,Venezuela,7.41,101
73,Sri Lanka,6.26,87
74,Saint Kitts and Nevis,..,..
75,Albania,4.27,51
76,Lebanon,6.21,83
77,Mexico,5.45,73
78,Azerbaijan,5.26,68
79,Brazil,6.54,92
79,Grenada,..,..
81,Bosnia Herzegovina,2.38,34
82,Macedonia,2.40,36
83,Algeria,7.09,94
84,Armenia,4.53,61
84,Ukraine,4.44,55
86,Jordan,7.58,111
87,Peru,6.25,86
87,Thailand,6.06,79
89,Ecuador,6.31,88
90,China,2.44,37
91,Fiji,5.58,75
92,Mongolia,4.38,53
92,Saint Lucia,5.54,74
94,Jamaica,7.02,93
95,Colombia,6.33,89
96,Dominica,..,..
97,Suriname,7.28,99
97,Tunisia,4.49,58
99,Dominican Republic,7.50,107
99,Saint Vincent,..,..
101,Tonga,10.59,152
102,Libya,2.47,38
103,Belize,6.15,81
104,Samoa,7.19,97
105,Maldives,5.12,64
105,Uzbekistan,4.47,57
107,Moldova,3.52,46
108,Botswana,7.15,95
109,Gabon,9.02,127
110,Paraguay,7.44,104
111,Egypt,9.25,135
111,Turkmenistan,..,..
113,Indonesia,7.47,105
114,Palestine,..,..
115,Vietnam,5.37,71
116,Philippines,7.16,96
117,El Salvador,6.24,85
118,Bolivia,7.26,98
119,South Africa,6.34,90
120,Kyrgyzstan,6.34,90
121,Iraq,8.45,123
122,Cabo Verde,..,..
123,Morocco,8.14,113
124,Nicaragua,7.42,103
125,Guatemala,8.14,113
125,Namibia,7.54,108
127,Guyana,8.28,117
127,Micronesia,..,..
129,Tajikistan,5.22,65
130,Honduras,7.41,101
131,India,8.50,125
132,Bhutan,7.57,110
133,Timor-Leste,..,..
134,Vanuatu,..,..
135,Congo,9.52,141
135,Equatorial Guinea,..,..
137,Kiribati,..,..
138,Lao,7.48,106
139,Bangladesh,8.40,119
139,Ghana,9.07,131
139,Zambia,8.46,124
142,Sao Tome and Principe,8.44,122
143,Cambodia,7.59,112
144,Nepal,8.17,115
145,Myanmar,6.14,80
146,Kenya,9.25,135
147,Pakistan,9.06,130
148,Swaziland,9.26,137
149,Syria,9.14,133
150,Angola,..,..
151,Tanzania,9.04,129
152,Nigeria,..,..
153,Cameroon,9.28,138
154,Papua New Guinea,9.55,143
154,Zimbabwe,9.00,126
156,Solomon Islands,..,..
157,Mauritania,10.26,147
158,Madagascar,..,..
159,Rwanda,6.23,84
160,Comoros,..,..
160,Lesotho,9.09,132
162,Senegal,8.41,120
163,Haiti,9.53,142
163,Uganda,8.42,121
165,Sudan,9.35,140
166,Togo,9.16,134
167,Benin,10.13,144
168,Yemen,12.47,159
169,Afghanistan,11.07,154
170,Malawi,10.14,145
171,C̫te d'Ivoire,11.12,155
172,Djibouti,..,..
173,Gambia,10.41,148
174,Ethiopia,8.19,116
175,Mali,11.29,156
176,Congo,11.03,153
177,Liberia,10.49,150
178,Guinea-Bissau,..,..
179,Eritrea,..,..
179,Sierra Leone,10.50,151
181,Mozambique,9.34,139
181,South Sudan,..,..
183,Guinea,..,..
184,Burundi,7.54,108
185,Burkina Faso,10.15,146
186,Chad,11.35,157
187,Niger,11.35,157
188,Central African Republic,10.48,149